"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6"
"A01_1",-0.0538098519799981,0.369095741106629,0.0111624102231865,0.237205214699044,-0.0392530804374914,-0.00292285178635436
"A01_2",0.0791531777176025,0.0765578148914093,-0.134258683016588,0.00865228296586344,0.683147775668441,0.0297331560011
"A01_3",-0.0632279550242935,-0.174590391829136,-0.0431694221383629,0.826668299337787,-0.0265115054218888,-0.0098388215293781
"A01_4",-0.06382871997659,-0.0233848041772063,0.420893163265056,0.0866667326641809,0.20237095574531,-0.0306090360050277
"A01_6",-0.0706789799312621,-0.0307833149260699,-0.0504714078033057,0.775103738640938,0.0730015026630905,-0.121381768933461
"A02_1",0.880498779945889,-0.00350830908307395,0.0312181847961967,-0.0634034791020809,0.0806357126154146,-0.0570276293705684
"A02_2",0.0844520188591434,0.0261909984689975,0.100092788755526,0.297052999745678,0.017191092497649,-0.304459594126396
"A02_3",0.0398648987489568,-0.0822374946983417,1.05312450012358,-0.0498061290545488,-0.0951369105301276,0.0847232231044479
"A02_5",0.230161274917805,0.103409053482377,0.0262333592483548,0.227573345776463,0.0112604060214106,0.0572876473797712
"A03_1",-0.101588675938443,-0.241255113322808,0.1393570206137,-0.026026595193119,0.0153910984297163,0.618989058146699
"A03_2",-0.0305673082449363,0.119000775373639,0.0415874730471268,-0.0993259841408048,0.0143028323489749,0.599397664270639
"A03_3",-0.0023337586979528,0.0728680226340613,0.138075620602265,0.335672329522328,0.00306703477220088,0.127038837304611
"A03_4",-0.0985707468663093,0.301268376764085,0.0390542080225766,0.0137192975018573,0.255571549685969,-0.00934209977291065
"A03_5",0.0495794403261881,-0.274729072186435,-0.131610885735884,0.103720817344852,0.137407929538554,0.28721722839479
"A04_1",0.0372331475194162,0.0547251080501481,0.580363370831928,-0.0888340685365045,0.00324004912689532,0.0371180407623099
"A04_2",0.0442685157535415,-0.0935463072693653,0.0251669707970895,0.0371547603159077,0.599744470882646,-0.0016943062311929
"A04_3",0.235381584060621,0.0726183289205575,-0.0722591075612118,0.174000974903078,-0.219948705863299,0.24114548508362
"A04_4",0.00836393332590026,0.868052515612003,-0.0701861641443587,-0.133921664223898,0.0214699143408192,-0.0979772433603525
"A04_5",0.0507341463680183,0.221195160585224,0.0354192032035496,0.0534168469930648,-0.221260668741645,0.186327380582346
"A05_1",0.0382839536314678,0.10876937922779,-0.0809485929219335,-0.0057383803926762,0.407541230217157,0.312238515105012
"A05_3",-0.108470583543452,0.405797691678902,-0.00785676749654247,0.0127516959185957,0.0121565241613706,0.143396937853671
"A05_4",0.942335186315296,-0.0052499251970854,0.030335145357092,-0.0713093259475523,0.0440014569136091,-0.0565734780012883
"A05_5",0.0162951012069077,0.584461538372358,-0.0269006790301117,-0.0859636287530604,0.0244663921215422,-0.0392353117674097
