"","asc_smlr","asc_same","asc_grtr","b_City_Midwest_smlr","b_City_Northeast_smlr","b_City_South_smlr","b_City_West_smlr","b_City_Midwest_grtr","b_City_Northeast_grtr","b_City_South_grtr","b_City_West_grtr"
"asc_smlr",12401760.0433807,18010241.1935302,23979544.3925194,5608481.13514878,5608481.12756405,5608481.14882776,5608481.13367546,-5969303.23993397,-5969303.23550013,-5969303.1925163,-5969303.26841451
"asc_same",18010241.1935302,22702753.6681313,28861372.7652233,4692512.46060612,4692512.44106234,4692512.47024187,4692512.45880191,-6158619.13159715,-6158619.13325244,-6158619.08059612,-6158619.16204562
"asc_grtr",23979544.3925194,28861372.7652233,35154451.1343203,4881828.36075464,4881828.33624093,4881828.36880518,4881828.35866701,-6293078.40387123,-6293078.40471608,-6293078.34403598,-6293078.43310878
"b_City_Midwest_smlr",5608481.13514878,4692512.46060612,4881828.36075464,-915968.657328097,-915968.685495915,-915968.677580095,-915968.673867751,-189315.892425088,-189315.899797928,-189315.890125439,-189315.89567673
"b_City_Northeast_smlr",5608481.12756405,4692512.44106234,4881828.33624093,-915968.685495915,-915968.686687546,-915968.689539146,-915968.685826802,-189315.888738877,-189315.893584214,-189315.885155514,-189315.890706806
"b_City_South_smlr",5608481.14882776,4692512.47024187,4881828.36880518,-915968.677580095,-915968.689539146,-915968.668399485,-915968.677910983,-189315.892123601,-189315.898212727,-189315.887220978,-189315.894091529
"b_City_West_smlr",5608481.13367546,4692512.45880191,4881828.35866701,-915968.673867751,-915968.685826802,-915968.677910983,-915968.666791404,-189315.893425384,-189315.89951451,-189315.889842021,-189315.894743124
"b_City_Midwest_grtr",-5969303.23993397,-6158619.13159715,-6293078.40387123,-189315.892425088,-189315.888738877,-189315.892123601,-189315.893425384,134459.288750367,134459.27173283,134459.263709052,134459.271332353
"b_City_Northeast_grtr",-5969303.23550013,-6158619.13325244,-6293078.40471608,-189315.899797928,-189315.893584214,-189315.898212727,-189315.89951451,134459.27173283,134459.282266884,134459.262898618,134459.27052192
"b_City_South_grtr",-5969303.1925163,-6158619.08059612,-6293078.34403598,-189315.890125439,-189315.885155514,-189315.887220978,-189315.889842021,134459.263709052,134459.262898618,134459.266720656,134459.262498141
"b_City_West_grtr",-5969303.26841451,-6158619.16204562,-6293078.43310878,-189315.89567673,-189315.890706806,-189315.894091529,-189315.894743124,134459.271332353,134459.27052192,134459.262498141,134459.275900091
