"","MR2","MR5","MR4","MR1","MR3"
"A01_1",0.00614072715594281,-0.0988985021451473,0.372356566722433,0.299238261830613,0.00384319343050605
"A01_2",0.505951039881482,0.0802416034003195,-0.112586049795524,-0.00351657413404258,0.32458650152948
"A01_3",-0.0326120650034591,-0.0447021735535212,-0.0652108960408501,0.7066941612532,0.0171479135927183
"A01_4",0.513634109367418,-0.100021188448271,0.028456474624499,0.103339601785577,-0.0259124051360712
"A01_6",0.0812593036262912,-0.062196563371693,0.0188072520535068,0.659787336623126,-0.0252246798287124
"A02_1",-0.0412428792253068,0.835673097781327,-0.0753068333347366,0.0324458372653656,-0.0129204766153564
"A02_2",0.190700219118495,0.129583820016631,-0.0870567589923677,0.314336897308161,-0.22741320161843
"A02_3",0.589370585051787,-0.0316993813597127,0.173396704842469,0.0824952695407518,-0.235138037786667
"A02_5",-0.0174469989762888,0.228163929616498,0.113801414453706,0.318096841209735,0.0593008965603193
"A03_1",0.0192508815360706,-0.0763305633292564,0.00444125204419767,0.00491243943396362,0.408098734167634
"A03_2",-0.0905370207544754,-0.0247121410982396,0.345548243363815,-0.0662374007134279,0.411181079687906
"A03_3",0.0977574347808103,0.0241606189517677,0.151416714459269,0.334920557599282,0.0440617033888826
"A03_4",0.33179420169196,-0.0901314973047748,0.278952320173375,-0.00109211798164479,0.0836733022583072
"A03_5",-0.0580631276447203,0.113081833932419,-0.165758532996359,0.0729203395535555,0.37104972508852
"A04_1",0.420174236549336,0.0146357299690509,0.175280034266047,-0.0107756931748552,-0.129155014648842
"A04_2",0.613630665596156,0.0784174587161697,-0.1922257497924,0.0234032728954114,0.345918364375875
"A04_3",-0.329406774773331,0.251829307485636,0.146360268065239,0.239422766307263,0.113251953217279
"A04_4",0.058927691331146,0.0245292659107364,0.65925942179154,0.000864295548732947,-0.0487731883466892
"A04_5",-0.197884386414301,0.0590261079216138,0.32372960659561,0.136637796482564,0.0500806312294222
"A05_1",0.199833544986261,0.031484893736711,0.0932560111559933,-0.0329635840682319,0.447298833482289
"A05_3",0.0247382439423436,-0.0954040140695717,0.401919467346508,0.071842213416533,0.0601576558300034
"A05_4",-0.0899196727858372,0.829152536182308,-0.0553697321061655,0.042313819323986,0.00838210720330699
"A05_5",0.0474566410641768,0.000131539538801596,0.493791364776945,0.0139069180210703,0.00352131057540043
"biz_all_before",0.0415138108636854,0.178754528155908,0.192058307576415,-0.0760654793812452,-0.0717975195421371
"biz_all_during",0.0473050227986458,0.18461330639917,0.201315542609426,-0.12572920181539,-0.00266582636837818
