"","asc","b_City_Midwest","b_City_South","b_City_Northeast","b_Age_GenZ","b_Age_Millenials","b_Age_Older","b_Inc_Mid","b_Inc_High","b_Hel","b_Vdc","b_Edc_MoreBachelor","b_Gen_NonMale","b_Chl_Yes","b_Ngh_NonUrban","tau_fewer","tau_same"
"asc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_City_Midwest",NA,1,0.29641692149936,0.270258554029218,-0.0511822605508897,0.00450335208605401,0.030631407521292,0.0526827722886781,0.00724048163565519,0.0162020673597496,0.010600694202275,-0.03853392446325,-0.0325136425559243,0.0607517171141914,-0.0625011887289798,NA,NA
"b_City_South",NA,0.29641692149939,1,0.314224270186066,-0.0271874256104398,0.000144281345791889,-0.0229177495804154,0.0355330267470804,-0.0250977644419499,-0.018274436517276,0.0330434645037921,-0.0321767014747879,-0.0360007646451964,-0.00154160518597069,0.0329341106754317,NA,NA
"b_City_Northeast",NA,0.270258554029239,0.314224270186054,1,-0.0276802986767249,0.0131392836320803,-0.0553230932339994,0.0112635927932949,-0.0125678566975677,-0.0483416740631231,0.00248378832396331,-0.00436129218798776,-0.0098929314547855,-0.0287063865746606,0.122635402253475,NA,NA
"b_Age_GenZ",NA,-0.0511822605509094,-0.0271874256104752,-0.0276802986767654,1,0.348133348013306,0.242985399857135,0.0470532777626474,0.100439689264356,0.0189205569559666,-0.00179011619041361,0.303545513816439,-0.0572439511804249,0.0154659224983762,-0.0764038093665108,NA,NA
"b_Age_Millenials",NA,0.00450335208606027,0.000144281345774121,0.0131392836320663,0.348133348013328,1,0.390859361111866,0.057879696577891,0.161130405456419,-0.00151225255740705,-0.0150460682751872,0.0164543979989176,-0.00664356540105205,0.0654267859245658,0.0795595616536078,NA,NA
"b_Age_Older",NA,0.0306314075213157,-0.0229177495803904,-0.0553230932339718,0.242985399857158,0.390859361111892,1,0.0206024850259384,-0.016951408820946,-0.0254860458014046,-0.0056899545096563,0.0460084801133047,0.0244088447481423,0.230553443215585,-0.112121035380825,NA,NA
"b_Inc_Mid",NA,0.0526827722886857,0.0355330267470993,0.0112635927933074,0.0470532777626499,0.0578796965778956,0.0206024850259378,1,0.764355574781952,-0.0663961556434959,-0.0354919845170729,-0.22652783526516,0.0385496145050095,-0.0526725496563387,0.0417001805818635,NA,NA
"b_Inc_High",NA,0.0072404816356599,-0.0250977644419383,-0.0125678566975617,0.100439689264358,0.161130405456421,-0.0169514088209471,0.764355574781951,1,-0.0711097756934864,-0.0820300784709093,-0.298688868957294,0.016778927331745,-0.0752793509631915,0.0249000310563276,NA,NA
"b_Hel",NA,0.016202067359769,-0.0182744365171395,-0.0483416740630356,0.0189205569559093,-0.00151225255736925,-0.0254860458013318,-0.0663961556434654,-0.0711097756934667,1,-0.116401400599766,-0.00754880999215162,-0.104711827680793,0.0222372293075304,0.0290766932532121,NA,NA
"b_Vdc",NA,0.0106006942022768,0.0330434645037934,0.00248378832396358,-0.00179011619041347,-0.015046068275186,-0.00568995450965221,-0.0354919845170727,-0.0820300784709084,-0.116401400599771,1,-0.0952715458539962,-0.0500287195587127,-0.0546974096252245,0.00186765091083512,NA,NA
"b_Edc_MoreBachelor",NA,-0.0385339244632625,-0.0321767014748473,-0.00436129218804502,0.30354551381647,0.0164543979989031,0.0460084801132563,-0.226527835265166,-0.298688868957293,-0.00754880999214285,-0.0952715458539974,1,0.0402935445455614,0.0527331048791893,-0.0414037695528524,NA,NA
"b_Gen_NonMale",NA,-0.0325136425559771,-0.03600076464605,-0.00989293145530156,-0.0572439511800303,-0.00664356540125769,0.0244088447475466,0.0385496145047939,0.0167789273315969,-0.104711827681162,-0.0500287195587356,0.0402935445456528,1,0.148410024707169,-0.00687131837064283,NA,NA
"b_Chl_Yes",NA,0.0607517171142016,-0.00154160518608253,-0.028706386574707,0.0154659224984468,0.0654267859245605,0.230553443215508,-0.0526725496563513,-0.0752793509631878,0.0222372293074615,-0.0546974096252293,0.0527331048792144,0.148410024707448,1,-0.00917571650646312,NA,NA
"b_Ngh_NonUrban",NA,-0.0625011887289765,0.0329341106754707,0.122635402253484,-0.0764038093665265,0.0795595616536105,-0.112121035380814,0.0417001805818687,0.0249000310563311,0.0290766932532171,0.00186765091083543,-0.0414037695528613,-0.00687131837064951,-0.00917571650646696,1,NA,NA
"tau_fewer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tau_same",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
